"","GB_Acession","Original","Access..No","Museum","Added.to.Database","Website","Family","Genus","Species","Endemic","Locality","Latitude","Longitude","SpecName"
"82",NA,"SMG10756","396113","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1670962","Ploceidae","Ploceus","nelicourvi","Y","Antsiranana",-14,48.43,"Ploceus_nelicourvi_FMNH396113_12S"
"84",NA,"FMNH356702","356702","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1631520","Vangidae","Pseudobias","wardi","Y","Toamasina",-18.93,48.42,"Pseudobias_wardi_FMNH356702_12S"
"85",NA,"487452","487452","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/2386917","Pteroclidae","Pterocles","personatus","Y","Mahajanga",-14.75,48.1,"Pterocles_personatus_FMNH487452_12S"
"86",NA,"FMNH479641","479641","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/2146933","Bernieridae","Randia","pseudozosterops","Y","Fianarantsoa",-21.24,47.4,"Randia_pseudozosterops_FMNH479641_12S"
"87",NA,"384801","384801","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1659653","Hirundinidae","Riparia","paludicola","","Fianarantsoa",-22.18,46.9,"Riparia_paludicola_FMNH384801_12S"
"88",NA,"393178","393178","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1668027","Rostratulidae","Rostratula","benghalensis","","Toamosina",-17.29,49.41,"Rostratula_benghalensis_FMNH393178_12S"
"89",NA,"384729","384729","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1659581","Rallidae","Sarothrura","insularis","Y","Antsiranana",-12.58,49.15,"Sarothrura_insularis_FMNH384729_12S"
"90",NA,"TPG1582","393333","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1668182","Muscicapidae","Saxicola","torquata","","Fianarantsoa",-22.15,47.02,"Saxicola_torquata_FMNH393333_12S"
"91",NA,"FMNH436519","436519","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1711243","Vangidae","Schetba","rufa","Y","Mahajanga",-16.43,45.4,"Schetba_rufa_FMNH436519_12S"
"92",NA,"384663","384663","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1659515","Podicipedidae","Tachybaptus","pelzelnii","Y","Toliara",-22.45,44.83,"Tachybaptus_pelzelnii_FMNH384663_12S"
"93",NA,"396065","396065","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1670914","Apodidae","Tachymarptis","melba","","Antananarivo",-18.17,47.28,"Tachymarptis_melba_FMNH396065_12S"
"94",NA,"FMNH436460","436460","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1711185","Monarchidae","Terpsiphone","mutata","N - WEST INDIAN ISLANDS","Toliara",-22.77,43.52,"Terpsiphone_mutata_FMNH436460_12S"
"95",NA,"MJR0554","MJR0554","UADBA","8/12/24","","Bernieridae","Thamnornis","chloropetoides","Y","",-20.94,43.87,"Thamnornis_chloropetoides_UADBAMJR0554_12S"
"96",NA,"360039","360039","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1634857","Scolopacidae","Tringa","nebularia","","Toamasina",-18.75,47.52,"Tringa_nebularia_FMNH360039_12S"
"97",NA,"436420","436420","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1711145","Turnicidae","Turnix","nigricollis","Y","Toliara",-22.77,43.52,"Turnix_nigricollis_FMNH436420_12S"
"98",NA,"FMNH393163","393163","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1668012","Vangidae","Tylas","eduardi","Y","Toliara",-22.68,44.19,"Tylas_eduardi_FMNH393163_12S"
"101",NA,"FMNH434668","434668","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1709393","Vangidae","Vanga","curvirostris","Y","Mahajanga",-16.3,46.82,"Vanga_curvirostris_FMNH434668_12S"
"102",NA,"FMNH393162","393162","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1668011","Bernieridae","Xanthomixis","apperti","Y","Toliara",-22.68,44.19,"Xanthomixis_apperti_FMNH393162_12S"
"103",NA,"FMNH393287","393287","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1668136","Bernieridae","Xanthomixis","cinereiceps","Y","Antsiranana",-14.54,49.43,"Xanthomixis_cinereiceps_FMNH393287_12S"
"104",NA,"FMNH393278","393278","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1668127","Bernieridae","Xanthomixis","tenebrosa","Y","Antsiranana",-14.54,49.44,"Xanthomixis_tenebrosa_FMNH393278_12S"
"105",NA,"FMNH384740","384740","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1659592","Bernieridae","Xanthomixis","zosterops","Y","Antsiranana",-14.43,49.75,"Xanthomixis_zosterops_FMNH384740_12S"
"106",NA,"FMNH434675","434675","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1709400","Vangidae","Xenopirostris","polleni","Y","Fianarantsoa",-21.25,47.42,"Xenopirostris_polleni_FMNH434675_12S"
